103_ddr 103_epi 104_ddr 104_epi 105_ddr 105_epi 106_ddr 106_epi 107_ddr 107_epi 108_ddr 108_epi 109_ddr 109_epi 110_ddr 110_epi 111_ddr 111_epi 114_ddr 114_epi 115_ddr 115_epi 116_ddr 116_epi 117_ddr 117_epi 118_ddr 118_epi 121_ddr 121_epi 122_ddr 122_epi 123_ddr 123_epi 124_ddr 124_epi 125_ddr 125_epi 126_ddr 126_epi 127_ddr 127_epi 128_ddr 128_epi 129_ddr 129_epi 130_ddr 130_epi 131_ddr 131_epi
108_ddr 0.256726457399103 0.232062780269058 0.306053811659193 0.303811659192825 0.253363228699552 0.2847533632287 0.286995515695067 0.288116591928251 0.189461883408072 0.179372197309417 0 0.0885650224215247 0.281390134529148 0.275784753363229 0.219730941704036 0.282511210762332 0.272421524663677 0.311659192825112 0.27914798206278 0.280269058295964 0.271300448430493 0.272421524663677 0.255605381165919 0.254484304932735 0.246636771300448 0.247757847533632 0.253363228699552 0.290358744394619 0.302690582959641 0.278026905829596 0.302690582959641 0.304932735426009 0.282511210762332 0.301569506726457 0.176008968609865 0.233183856502242 0.294843049327354 0.243273542600897 0.291479820627803 0.226457399103139 0.272421524663677 0.23542600896861 0.282511210762332 0.247757847533632 0.283632286995516 0.193946188340807 0.274663677130045 0.271300448430493 0.237668161434978 0.241031390134529
108_epi 0.179372197309417 0.199551569506726 0.226457399103139 0.226457399103139 0.238789237668161 0.207399103139013 0.209641255605381 0.210762331838565 0.208520179372197 0.218609865470852 0.0885650224215247 0 0.20627802690583 0.20067264573991 0.288116591928251 0.207399103139013 0.195067264573991 0.232062780269058 0.204035874439462 0.205156950672646 0.196188340807175 0.195067264573991 0.180493273542601 0.183856502242152 0.169282511210762 0.170403587443946 0.178251121076233 0.213004484304933 0.22085201793722 0.20067264573991 0.227578475336323 0.227578475336323 0.205156950672646 0.221973094170404 0.224215246636771 0.153587443946188 0.2152466367713 0.263452914798206 0.211883408071749 0.283632286995516 0.195067264573991 0.239910313901345 0.20067264573991 0.168161434977578 0.204035874439462 0.251121076233184 0.197309417040359 0.196188340807175 0.162556053811659 0.163677130044843
109_ddr 0.223094170403587 0.248878923766816 0.160313901345291 0.15695067264574 0.242152466367713 0.213004484304933 0.207399103139013 0.208520179372197 0.272421524663677 0.286995515695067 0.281390134529148 0.20627802690583 0 0.007847533632287 0.304932735426009 0.219730941704036 0.208520179372197 0.245515695067265 0.00560538116591928 0.00336322869955157 0.183856502242152 0.184977578475336 0.204035874439462 0.210762331838565 0.213004484304933 0.211883408071749 0.217488789237668 0.254484304932735 0.276905829596413 0.25 0.187219730941704 0.18609865470852 0.207399103139013 0.226457399103139 0.278026905829596 0.205156950672646 0.155829596412556 0.205156950672646 0.214125560538117 0.288116591928251 0.184977578475336 0.229820627802691 0.232062780269058 0.201793721973094 0.246636771300448 0.295964125560538 0.199551569506726 0.198430493273543 0.195067264573991 0.195067264573991
109_epi 0.219730941704036 0.245515695067265 0.165919282511211 0.162556053811659 0.241031390134529 0.211883408071749 0.205156950672646 0.20627802690583 0.273542600896861 0.288116591928251 0.275784753363229 0.20067264573991 0.007847533632287 0 0.304932735426009 0.221973094170404 0.20627802690583 0.245515695067265 0.00448430493273543 0.00672645739910314 0.183856502242152 0.184977578475336 0.204035874439462 0.210762331838565 0.211883408071749 0.210762331838565 0.216367713004484 0.253363228699552 0.27914798206278 0.25 0.187219730941704 0.18609865470852 0.210762331838565 0.229820627802691 0.278026905829596 0.205156950672646 0.154708520179372 0.201793721973094 0.211883408071749 0.285874439461883 0.184977578475336 0.229820627802691 0.233183856502242 0.20067264573991 0.245515695067265 0.292600896860987 0.199551569506726 0.196188340807175 0.195067264573991 0.197309417040359
110_ddr 0.300448430493274 0.278026905829596 0.301569506726457 0.301569506726457 0.207399103139013 0.236547085201794 0.266816143497758 0.267937219730942 0.245515695067265 0.239910313901345 0.219730941704036 0.288116591928251 0.304932735426009 0.304932735426009 0 0.086322869955157 0.229820627802691 0.269058295964126 0.306053811659193 0.308295964125561 0.23542600896861 0.234304932735426 0.303811659192825 0.302690582959641 0.289237668161435 0.290358744394619 0.312780269058296 0.349775784753363 0.34304932735426 0.31390134529148 0.307174887892377 0.306053811659193 0.257847533632287 0.276905829596413 0.22085201793722 0.278026905829596 0.298206278026906 0.246636771300448 0.253363228699552 0.18609865470852 0.234304932735426 0.195067264573991 0.323991031390135 0.292600896860987 0.316143497757848 0.226457399103139 0.241031390134529 0.244394618834081 0.291479820627803 0.291479820627803
110_epi 0.2152466367713 0.239910313901345 0.22085201793722 0.218609865470852 0.184977578475336 0.155829596412556 0.183856502242152 0.184977578475336 0.256726457399103 0.275784753363229 0.282511210762332 0.207399103139013 0.219730941704036 0.221973094170404 0.086322869955157 0 0.149103139013453 0.18609865470852 0.22085201793722 0.223094170403587 0.152466367713004 0.151345291479821 0.218609865470852 0.221973094170404 0.20627802690583 0.207399103139013 0.227578475336323 0.26457399103139 0.260089686098655 0.233183856502242 0.224215246636771 0.225336322869955 0.174887892376682 0.193946188340807 0.267937219730942 0.195067264573991 0.217488789237668 0.265695067264574 0.170403587443946 0.239910313901345 0.151345291479821 0.193946188340807 0.241031390134529 0.209641255605381 0.233183856502242 0.282511210762332 0.158071748878924 0.159192825112108 0.20627802690583 0.20627802690583
111_ddr 0.219730941704036 0.244394618834081 0.204035874439462 0.20627802690583 0.190582959641256 0.159192825112108 0.168161434977578 0.168161434977578 0.266816143497758 0.283632286995516 0.272421524663677 0.195067264573991 0.208520179372197 0.20627802690583 0.229820627802691 0.149103139013453 0 0.0437219730941704 0.207399103139013 0.209641255605381 0.151345291479821 0.150224215246637 0.217488789237668 0.22085201793722 0.205156950672646 0.204035874439462 0.221973094170404 0.258968609865471 0.257847533632287 0.230941704035874 0.20627802690583 0.20627802690583 0.158071748878924 0.179372197309417 0.271300448430493 0.198430493273543 0.205156950672646 0.251121076233184 0.158071748878924 0.229820627802691 0.150224215246637 0.195067264573991 0.239910313901345 0.205156950672646 0.238789237668161 0.285874439461883 0.155829596412556 0.15695067264574 0.202914798206278 0.205156950672646
111_epi 0.256726457399103 0.274663677130045 0.241031390134529 0.243273542600897 0.229820627802691 0.198430493273543 0.207399103139013 0.207399103139013 0.303811659192825 0.318385650224215 0.311659192825112 0.232062780269058 0.245515695067265 0.245515695067265 0.269058295964126 0.18609865470852 0.0437219730941704 0 0.244394618834081 0.246636771300448 0.188340807174888 0.187219730941704 0.25 0.253363228699552 0.244394618834081 0.243273542600897 0.261210762331839 0.248878923766816 0.256726457399103 0.272421524663677 0.247757847533632 0.247757847533632 0.195067264573991 0.182735426008969 0.310538116591928 0.237668161434978 0.244394618834081 0.290358744394619 0.195067264573991 0.266816143497758 0.187219730941704 0.227578475336323 0.229820627802691 0.242152466367713 0.233183856502242 0.325112107623318 0.192825112107623 0.193946188340807 0.239910313901345 0.242152466367713
114_ddr 0.22085201793722 0.246636771300448 0.163677130044843 0.160313901345291 0.242152466367713 0.213004484304933 0.20627802690583 0.207399103139013 0.274663677130045 0.286995515695067 0.27914798206278 0.204035874439462 0.00560538116591928 0.00448430493273543 0.306053811659193 0.22085201793722 0.207399103139013 0.244394618834081 0 0.00448430493273543 0.182735426008969 0.183856502242152 0.204035874439462 0.210762331838565 0.2152466367713 0.214125560538117 0.217488789237668 0.254484304932735 0.280269058295964 0.253363228699552 0.188340807174888 0.187219730941704 0.209641255605381 0.228699551569507 0.278026905829596 0.205156950672646 0.155829596412556 0.205156950672646 0.210762331838565 0.282511210762332 0.183856502242152 0.228699551569507 0.234304932735426 0.201793721973094 0.246636771300448 0.295964125560538 0.198430493273543 0.195067264573991 0.196188340807175 0.198430493273543
114_epi 0.221973094170404 0.247757847533632 0.161434977578475 0.158071748878924 0.245515695067265 0.216367713004484 0.209641255605381 0.210762331838565 0.273542600896861 0.285874439461883 0.280269058295964 0.205156950672646 0.00336322869955157 0.00672645739910314 0.308295964125561 0.223094170403587 0.209641255605381 0.246636771300448 0.00448430493273543 0 0.184977578475336 0.18609865470852 0.202914798206278 0.209641255605381 0.214125560538117 0.213004484304933 0.216367713004484 0.253363228699552 0.278026905829596 0.251121076233184 0.188340807174888 0.187219730941704 0.210762331838565 0.229820627802691 0.280269058295964 0.207399103139013 0.154708520179372 0.204035874439462 0.2152466367713 0.286995515695067 0.18609865470852 0.230941704035874 0.233183856502242 0.20067264573991 0.245515695067265 0.294843049327354 0.202914798206278 0.199551569506726 0.193946188340807 0.196188340807175
